ItemID,ProcessLine,Group,Code,ItemVI,ItemEN,AcceptVI,AcceptEN,Method,Severity,AQL,Sampling,InspType,DefectCode,Pareto,ShortForm,ISO,AppliesWhen,Note
LBL-A1,LABEL,A·Ngoại quan,A1,Đúng nội dung in (text/logo/mã/seri),Print content correct,"Nội dung, chữ, logo, mã, seri ĐÚNG so spec/mẫu chuẩn",Content/code/serial correct vs master,Soi mắt + đối chiếu mẫu/spec; kính lúp,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,CONTENT,,Y,,,Lỗi lặp — sai phôi/trùng seri
LBL-A2,LABEL,A·Ngoại quan,A2,Lệch chồng màu (Mis-register),Mis-register,Chồng màu khít so mẫu; lệch ≤ dung sai spec,Registration tight; ≤ tol,Soi mắt + đối chiếu mẫu; kính lúp,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,MISREG,40.3,Y,,,Top1 — 40% NG
LBL-A3,LABEL,A·Ngoại quan,A3,Bẩn / đốm / chấm (Dirty/Smear/Dot),Dirty/Smear/Dot,"Không vết bẩn, đốm mực, dây mực, chấm lạ",No dirt/smear/stray dots,Soi mắt dưới đèn chuẩn,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,DIRTY,27.3,Y,,,Top2 — Dirty 26% + Smear 1.3%
LBL-A4,LABEL,A·Ngoại quan,A4,"Loang, sọc (Mottled/Streak)",Mottled/Streak,"Lớp mực đều, không loang, sọc","Even ink, no mottle/streak",Soi mắt nghiêng + đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,MOTTLE,2.1,Y,,,
LBL-A5,LABEL,A·Ngoại quan,A5,Xước bề mặt (Scratch),Scratch,Không vết xước trên bề mặt in,No scratch on print,Soi mắt nghiêng + đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,SCRATCH,6.0,Y,,,
LBL-A6,LABEL,A·Ngoại quan,A6,"Bavia, dính/tràn keo (Burr/Glue)",Burr/Glue,"Mép sạch, không bavia, không dính/tràn keo","Clean edge, no burr/glue",Soi mắt + sờ mép,● Major,1.5,FAI 100% + AQL 1.5,Visual,BURR,10.1,Y,,,
LBL-A7,LABEL,A·Ngoại quan,A7,Bong / phồng ép dán (Peel/Blister),Peel/Blister,"Lớp cán/ép dán bám chắc, không bong, phồng","Laminate bonded, no peel",Soi mắt + gập nhẹ,● Major,1.5,FAI 100% + AQL 1.5,Visual,PEEL,1.9,,,Có ép dán/cán,If laminated
LBL-A8,LABEL,A·Ngoại quan,A8,Cắt sâu / thủng lót (Full-cut),Full-cut/Liner puncture,"Bế đúng lớp, không thủng đế, không cắt-xẻ lệch","Die-cut correct layer, no liner puncture",Soi mắt + tách thử,● Major,1.5,FAI 100% + AQL 1.5,Visual,FULLCUT,4.2,Y,,,
LBL-A9,LABEL,A·Ngoại quan,A9,"Lõm, gãy, hằn (Dent/Crease)",Dent/Crease,"Không lõm, gãy, hằn trên sản phẩm",No dent/crack/crease,Soi mắt,● Major,1.5,FAI 100% + AQL 1.5,Visual,DENT,4.1,Y,,,
LBL-A10,LABEL,A·Ngoại quan,A10,Thiếu áp lực / mất nét,Low pressure/Missing detail,"In đủ nét, rõ ràng, không mất chi tiết","Sharp print, no missing detail",Soi mắt + kính lúp; vs mẫu,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,LOWPRESS,1.0,Y,,,Lỗi lọt — khuôn bẩn
LBL-A11,LABEL,A·Ngoại quan,A11,Không đều (Uneven coverage),Uneven coverage,"Lớp in/phủ đều, không chỗ mỏng/dày",Even coverage,Soi mắt nghiêng,● Major,1.5,FAI 100% + AQL 1.5,Visual,UNEVEN,0.8,,,,
LBL-A12,LABEL,A·Ngoại quan,A12,"Khuyết, thiếu chi tiết (Incomplete)",Incomplete,Đủ chi tiết theo mẫu chuẩn,All details present,Soi mắt + đối chiếu,● Major,1.5,FAI 100% + AQL 1.5,Visual,MISSING,1.0,,,,
LBL-A13,LABEL,A·Ngoại quan,A13,Nhăn / biến dạng (Wrinkle/Deform),Wrinkle/Deform,"Bề mặt phẳng, không nhăn, biến dạng","Flat, no wrinkle/deform",Soi mắt,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,Lỗi lọt FQC
LBL-A14,LABEL,A·Ngoại quan,A14,Lỗ pin (Pin hole),Pin hole,Không lỗ kim trên lớp in,No pinhole,Soi mắt + đèn nền,○ Minor,4.0,FAI 100% + AQL 4.0,Visual,PINHOLE,0.1,,,,
LBL-A15,LABEL,A·Ngoại quan,A15,Hoàn thiện bề mặt (gloss/matte/laminate),Finish,Lớp phủ/cán/vân đúng loại & đều theo mẫu,Finish correct & even,Soi mắt + sờ; vs mẫu,○ Minor,4.0,FAI 100% + AQL 4.0,Visual,OTHER,,,,Có phủ/cán,If coated
LBL-B1,LABEL,B·Kích thước,B1,Kích thước tổng thể (W×L),Overall size,Trong dung sai bản vẽ,Within drawing tol,Thước cặp/CMM (KHÔNG thước lá cho dung sai nhỏ),◆ Critical,0.65,FAI 100% + AQL 0.65,Measure,SIZE,0.6,Y,,,Lỗi lọt — sai dụng cụ đo
