ItemID,Line,Blank label,Flexo,Letter press,HP Indigo,Silk screen,Flatbed,RDC,Laminate,Zebra,Sheet cut,Punch hole,Drill hole,Slit,IPQC,FQC,OQC,Nhóm,Mã,Hạng mục (VI),Item (EN),Tiêu chuẩn chấp nhận (VI),Acceptance (EN),Phương pháp · Dụng cụ,Mức,AQL,Cỡ mẫu / Sampling,Loại KT,Mã lỗi,ISO ref,Điều kiện áp dụng,Ghi chú / Note
PNC-A1,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,CRACK,"Gãy, nứt sản phẩm (Crack)",Crack / broken part,"Không gãy, không nứt tại mọi vị trí cắt và cạnh",No crack or fracture at any cut edge or feature,Soi mắt + bẻ nhẹ kiểm cạnh,◆ Critical,"0,65",FAI 100% + AQL 0.65,Visual,CRACK,,,Pareto PRESS_CNC #1 — 853 lượt NG
PNC-A2,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,DENT,"Sứt, mẻ cạnh (Dent/Chip)",Dent / chipped edge,"Cạnh và góc nguyên vẹn, không sứt mẻ","Edges and corners intact, no chipping",Soi mắt + kính lúp; vs mẫu,● Major,"1,5",FAI 100% + AQL 1.5,Visual,DENT,,,Pareto #3 — 663 lượt NG
PNC-A3,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,BURR,Bavia mép cắt (Burr),Burr on cut edge,"Mép cắt sạch, không bavia, không gờ sắc","Cut edge clean, free of burr and sharp ridge",Soi mắt + sờ mép,● Major,"1,5",FAI 100% + AQL 1.5,Visual,BURR,,,Pareto #4 — 563 lượt NG
PNC-A4,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,CONVEX,Lồi lõm bề mặt (Convex/Concave),Convex / concave surface,"Bề mặt phẳng đều, không lồi lõm do áp lực dập","Surface flat and even, no press-induced deformation",Soi mắt nghiêng + đặt lên mặt phẳng chuẩn,● Major,"1,5",FAI 100% + AQL 1.5,Visual,CONVEX,,,Pareto #5 — 541 lượt NG
PNC-A5,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,FRAY,"Sơ, dắt mép cắt (Fray)",Frayed / fibrous cut edge,"Mép cắt dứt khoát, không sơ sợi, không dắt vật liệu","Cut edge clean-severed, no fibre or drag",Soi mắt + kính lúp mép cắt,● Major,"1,5",FAI 100% + AQL 1.5,Visual,FRAY,,,Pareto #6 — 510 lượt NG
PNC-A6,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,FULLCUT,"Cắt sâu, thủng lớp đế (Full-cut)",Full-cut / liner punctured,Kiss-cut KHÔNG đứt lớp đế; through-cut đứt hoàn toàn theo spec,Kiss-cut must not sever liner; through-cut fully severed per spec,Soi mắt + tách thử lớp đế,◆ Critical,"0,65",FAI 100% + AQL 0.65,Visual,FULLCUT,,,Pareto #7 — 412 lượt NG
PNC-A7,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,PAINTCRK,"Vỡ sơn, tróc lớp phủ (Paint crack)",Paint crack / coating flake,"Lớp sơn/phủ nguyên vẹn quanh đường cắt, không rạn tróc","Paint or coating intact around the cut line, no cracking or flaking",Soi mắt + kính lúp; vs mẫu,● Major,"1,5",FAI 100% + AQL 1.5,Visual,PAINTCRK,,,Pareto #8 — 382 lượt NG
PNC-A8,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,SCRATCH,Trầy xước bề mặt (Scratch),Surface scratch,Không vết xước trên bề mặt sản phẩm,No scratch on the product surface,Soi mắt nghiêng + đèn,● Major,"1,5",FAI 100% + AQL 1.5,Visual,SCRATCH,,,Pareto #9 — 275 lượt NG
PNC-A9,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,GLUE,"Dính, tràn keo (Glue)",Glue smear / squeeze-out,"Không dính keo, không tràn keo ra mép hay bề mặt",No glue contamination or squeeze-out on edge or face,Soi mắt + sờ mép,● Major,"1,5",FAI 100% + AQL 1.5,Visual,GLUE,,,Pareto #11 — 114 lượt NG
PNC-A10,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,OIL,Dính dầu máy (Oil),Machine oil contamination,"Không vết dầu, không dấu tay dầu trên sản phẩm",No oil stain or oily fingerprint on product,Soi mắt + giấy thấm,● Major,"1,5",FAI 100% + AQL 1.5,Visual,OIL,,,Pareto #12 — 57 lượt NG
